id	minimum_pValue	call
ENSG00000015676	3.84768714310351e-08	present
ENSG00000016082	1	absent
ENSG00000016391	0.0110512456356718	present
ENSG00000016402	0.00416769665225895	present
ENSG00000016490	1	absent
ENSG00000016602	0.175580955763964	absent
ENSG00000016864	1.36407045395436e-08	present
ENSG00000017260	1.13961510073038e-09	present
ENSG00000017427	4.98408181231942e-05	present
ENSG00000017483	3.10591518342776e-07	present
ENSG00000017797	5.16024496481339e-08	present
ENSG00000018189	1.78237769087298e-08	present
ENSG00000018236	0.00138237304704429	present
ENSG00000018280	4.29390501801859e-09	present
ENSG00000018408	6.06038040556241e-11	present
ENSG00000018510	1.05474120019312e-05	present
ENSG00000018607	1	absent
ENSG00000018610	1.98712887648564e-05	present
ENSG00000018625	1.88343851635103e-05	present
ENSG00000018699	0.000241943157891187	present
ENSG00000018869	0.0024984937372278	present
ENSG00000019102	1.42831914439831e-07	present
ENSG00000019144	1.46432766457552e-09	present
ENSG00000019169	4.3124905679202e-09	present
ENSG00000019186	0.0819185478140129	absent
ENSG00000019485	0.000821146542382939	present
ENSG00000019505	0.303337164092351	absent
ENSG00000019549	0.000114860325781639	present
ENSG00000019582	5.77359736604596e-24	present
ENSG00000019991	2.42429314077534e-05	present
ENSG00000019995	1.53442108063001e-06	present
ENSG00000020129	7.14366520294954e-05	present
ENSG00000020181	1.06334024237544e-05	present
ENSG00000020219	1	absent
ENSG00000020256	0.00213150500292473	present
ENSG00000020426	1.30211086700281e-06	present
ENSG00000020577	1.08149801096485e-07	present
ENSG00000020633	6.27321485152719e-06	present
ENSG00000020922	0.000447104611126475	present
ENSG00000021300	8.30900720895964e-06	present
ENSG00000021355	2.88749081531375e-11	present
ENSG00000021461	0.263255013289717	absent
ENSG00000021488	0.151758847982613	absent
ENSG00000021574	0.000216402836294414	present
ENSG00000021645	0.00127920624296443	present
ENSG00000021762	7.9706766172839e-06	present
ENSG00000021776	1.30313788258537e-05	present
ENSG00000021826	0.00856838624850198	present
ENSG00000021852	0.059468672698988	absent
ENSG00000022267	2.92062588737996e-16	present
ENSG00000022277	6.43252606765505e-10	present
ENSG00000022355	0.672867772749402	absent
ENSG00000022556	0.00654526951894387	present
ENSG00000022567	5.43344554406474e-05	present
ENSG00000022840	1.17099400516201e-13	present
ENSG00000022976	0.00107180954356544	present
ENSG00000023041	2.5120789749799e-07	present
ENSG00000023171	0.0160472471023645	present
ENSG00000023191	1.71497402732781e-11	present
ENSG00000023228	2.39854057126028e-07	present
ENSG00000023287	1.59752386657544e-06	present
ENSG00000023318	3.25884684266629e-08	present
ENSG00000023330	7.94558116316222e-08	present
ENSG00000023445	2.60707940539641e-07	present
ENSG00000023516	4.25362266611381e-06	present
ENSG00000023572	8.15251941335699e-06	present
ENSG00000023608	7.9321510937249e-05	present
ENSG00000023697	1.4466752209869e-07	present
ENSG00000023734	1.94310832927859e-10	present
ENSG00000023839	0.0805302986553394	absent
ENSG00000023892	5.94616129139157e-06	present
ENSG00000023902	6.71151367905908e-10	present
ENSG00000023909	0.000181912781916393	present
ENSG00000024048	5.3702998725787e-06	present
ENSG00000024422	1.30844463812262e-10	present
ENSG00000024526	0.215003301689586	absent
ENSG00000024862	2.60206396718366e-08	present
ENSG00000025039	5.78209126744741e-06	present
ENSG00000025156	2.64273292752672e-05	present
ENSG00000025293	7.07683690001427e-08	present
ENSG00000025423	9.37867181518848e-07	present
ENSG00000025434	2.2570044097988e-08	present
ENSG00000025708	6.30528554962619e-12	present
ENSG00000025770	1.43364118584699e-06	present
ENSG00000025772	3.15210299839936e-06	present
ENSG00000025796	8.46517835013543e-10	present
ENSG00000025800	1.09455313201643e-06	present
ENSG00000026025	1.86482541885922e-19	present
ENSG00000026036	0.00393098608720705	present
ENSG00000026103	6.96337936254747e-09	present
ENSG00000026297	6.67770619812335e-10	present
ENSG00000026508	2.31029179941193e-14	present
ENSG00000026559	0.278480861816628	absent
ENSG00000026652	0.000118507391350282	present
ENSG00000026751	3.54363060593127e-05	present
ENSG00000026950	1.39362681371905e-08	present
ENSG00000027001	1.8062232875659e-05	present
ENSG00000027075	2.90390862077558e-10	present
ENSG00000027644	0.773403975998821	absent
ENSG00000027697	1.08507583377672e-13	present
ENSG00000027847	8.18013349649469e-05	present
ENSG00000027869	9.63690551321659e-05	present
ENSG00000028116	8.35431654686724e-06	present
ENSG00000028137	6.08924799700456e-10	present
ENSG00000028203	3.88614053194541e-08	present
ENSG00000028277	0.000489356083335907	present
ENSG00000028310	8.79410102704696e-06	present
ENSG00000028528	6.06924295066148e-10	present
ENSG00000028839	1.63487069295654e-08	present
ENSG00000029153	0.0201327192724987	present
ENSG00000029363	5.59821544573585e-09	present
ENSG00000029364	1.01928453579704e-06	present
ENSG00000029534	0.0159357382311077	present
ENSG00000029559	0.634263994913869	absent
ENSG00000029639	4.07500593894542e-05	present
ENSG00000029725	7.27551296117489e-07	present
ENSG00000029993	4.60127351339642e-06	present
ENSG00000030066	1.51349017047393e-06	present
ENSG00000030110	9.48425427063895e-06	present
ENSG00000030304	0.0100997291118624	present
ENSG00000030419	0.00463263372149844	present
ENSG00000030582	5.48479112153945e-14	present
ENSG00000031003	7.8678946422495e-06	present
ENSG00000031081	2.80709737141375e-06	present
ENSG00000031691	0.00188043497791445	present
ENSG00000031698	6.24159978884434e-12	present
ENSG00000031823	8.65850920786876e-09	present
ENSG00000032219	3.6392615448564e-05	present
ENSG00000032389	4.69145899605486e-05	present
ENSG00000032444	4.25534878313739e-08	present
ENSG00000032742	2.0319813906725e-05	present
ENSG00000033011	0.000502020231568841	present
ENSG00000033030	1.49977830376175e-06	present
ENSG00000033050	1.46969546483535e-05	present
ENSG00000033100	1.86277419155016e-05	present
ENSG00000033122	0.343026493953104	absent
ENSG00000033170	1.78764288798946e-05	present
ENSG00000033178	7.33873286259546e-06	present
ENSG00000033327	9.37468256843629e-08	present
ENSG00000033627	5.32293900772142e-08	present
ENSG00000033800	8.82957820995056e-08	present
ENSG00000033867	8.83565064965949e-06	present
ENSG00000034053	0.00174006891500732	present
ENSG00000034152	7.18980393725226e-10	present
ENSG00000034239	0.000132815002365542	present
ENSG00000034510	3.90303448715824e-24	present
ENSG00000034533	0.00129553121015618	present
ENSG00000034677	1.90885383478677e-09	present
ENSG00000034693	5.59603680031258e-05	present
ENSG00000034713	7.30319393924378e-13	present
ENSG00000034971	0.000129539325805602	present
ENSG00000035115	4.26863709795057e-09	present
ENSG00000035141	1.3604150818732e-05	present
ENSG00000035403	4.40188028278067e-11	present
ENSG00000035499	0.120937310946514	absent
ENSG00000035664	6.5669232062006e-06	present
ENSG00000035681	7.89563998645415e-07	present
ENSG00000035687	3.11066718097691e-08	present
ENSG00000035720	0.00632019232681001	present
ENSG00000035862	1.52576655600546e-14	present
ENSG00000035928	1.06333689533699e-07	present
ENSG00000036054	1.44973965936023e-07	present
ENSG00000036257	2.96341499404494e-09	present
ENSG00000036448	3.56380217031831e-06	present
ENSG00000036473	0.0726266386304096	absent
ENSG00000036530	0.155971523849675	absent
ENSG00000036549	2.85740359979149e-05	present
ENSG00000036565	1	absent
ENSG00000036672	0.000171477616535671	present
ENSG00000036828	0.677447352353594	absent
ENSG00000037042	1.02215570950393e-06	present
ENSG00000037241	4.14469562732255e-07	present
ENSG00000037280	1.11231542263811e-05	present
ENSG00000037474	6.11535496848987e-07	present
ENSG00000037637	6.3602979860308e-06	present
ENSG00000037749	6.47826529844273e-07	present
ENSG00000037757	5.01814246412427e-05	present
ENSG00000037897	4.5372225221104e-05	present
ENSG00000037965	0.680337239029717	absent
ENSG00000038002	1.03083444375352e-05	present
ENSG00000038210	1.7673968700435e-05	present
ENSG00000038219	8.5420273339117e-06	present
ENSG00000038274	2.94925169981587e-10	present
ENSG00000038295	0.00717427341302109	present
ENSG00000038358	1.41684681637344e-07	present
ENSG00000038382	8.50766083964196e-07	present
ENSG00000038427	2.14779348758658e-09	present
ENSG00000038532	1.94093697394695e-05	present
ENSG00000038945	1.98717650181909e-07	present
ENSG00000039068	4.43933808238436e-05	present
ENSG00000039123	5.92353223495621e-08	present
ENSG00000039139	0.00612200592495337	present
ENSG00000039319	6.97853935354256e-07	present
ENSG00000039523	1.89905395602484e-09	present
ENSG00000039537	0.00370179843740407	present
ENSG00000039560	9.60614606239672e-08	present
ENSG00000039600	1	absent
ENSG00000039650	7.56865032938877e-07	present
ENSG00000039987	0.187215420934374	absent
ENSG00000040199	0.000369423186282142	present
ENSG00000040275	0.00984838794890377	present
ENSG00000040341	1.15537188153285e-07	present
ENSG00000040487	0.001163398174719	present
ENSG00000040531	0.000239903952100548	present
ENSG00000040608	0.0172764413277331	present
ENSG00000040633	4.49181864789689e-07	present
ENSG00000040731	0.59807446698329	absent
ENSG00000040933	1.29640049834392e-05	present
ENSG00000041353	0.00921514179038528	present
ENSG00000041357	1.31060352525142e-11	present
ENSG00000041515	0.379545879022783	absent
ENSG00000041802	5.02231331218004e-07	present
ENSG00000041880	6.60634834212526e-06	present
ENSG00000041982	4.44268358385109e-08	present
ENSG00000041988	2.16036590402758e-06	present
ENSG00000042062	0.00257641329427804	present
ENSG00000042088	0.000201471965020027	present
ENSG00000042286	5.40858326654781e-05	present
ENSG00000042304	1	absent
ENSG00000042317	2.51235202152375e-05	present
ENSG00000042429	3.07800027881425e-06	present
ENSG00000042445	5.05168219500809e-07	present
ENSG00000042493	4.70599581896216e-11	present
ENSG00000042753	8.4625009675097e-11	present
ENSG00000042781	0.782758436989386	absent
ENSG00000042813	0.638450781200412	absent
ENSG00000042832	0.0391569976624895	present
ENSG00000042980	2.04394125420993e-05	present
ENSG00000043039	0.123985998159968	absent
ENSG00000043093	1.08361795912139e-05	present
ENSG00000043143	2.29345491973237e-05	present
ENSG00000043355	1	absent
ENSG00000043462	9.92651583104252e-11	present
ENSG00000043514	3.90389742474406e-05	present
ENSG00000043591	2.82365220200718e-05	present
ENSG00000044012	1	absent
ENSG00000044090	1.37847883052119e-05	present
ENSG00000044115	2.01993365666352e-14	present
ENSG00000044446	3.55013807433418e-05	present
ENSG00000044459	0.00112315864174996	present
ENSG00000044524	0.00669099348006956	present
ENSG00000044574	7.24713609735335e-13	present
ENSG00000046604	0.000593927379776745	present
ENSG00000046647	1.36218057363837e-05	present
ENSG00000046651	7.70928865387388e-07	present
ENSG00000046653	3.47540887783372e-08	present
ENSG00000046774	1	absent
ENSG00000046889	2.51348377977425e-05	present
ENSG00000047056	0.000103164601072272	present
ENSG00000047188	9.57025440634637e-05	present
ENSG00000047230	4.96606379742883e-05	present
ENSG00000047249	1.92296400668535e-08	present
ENSG00000047315	2.99668314004205e-08	present
ENSG00000047346	2.17421044421526e-06	present
ENSG00000047365	6.70257681132793e-07	present
ENSG00000047410	7.43732000727334e-08	present
ENSG00000047457	1.55114921196285e-05	present
ENSG00000047578	4.36121517306836e-05	present
ENSG00000047579	4.00059338733642e-07	present
ENSG00000047597	0.0248389828555154	present
ENSG00000047617	0.000670754338042134	present
ENSG00000047621	0.000356252121026615	present
ENSG00000047634	3.52377224565171e-07	present
ENSG00000047644	4.69043568288081e-07	present
ENSG00000047648	1.06385185774101e-06	present
ENSG00000047662	0.44770004787149	absent
ENSG00000047849	2.09181639102692e-11	present
ENSG00000047932	1.7843392243551e-05	present
ENSG00000047936	0.0181738411851948	present
ENSG00000048028	7.16034487124513e-06	present
ENSG00000048052	7.43200964327159e-05	present
ENSG00000048140	1.91851766453572e-06	present
ENSG00000048162	1.46951074498357e-06	present
ENSG00000048342	2.00334172931315e-06	present
ENSG00000048392	8.99550645902971e-07	present
ENSG00000048405	3.76422762249436e-06	present
ENSG00000048462	0.0163595175212226	present
ENSG00000048471	0.000131819252897314	present
ENSG00000048540	5.03076166848072e-07	present
ENSG00000048544	1.47289016450608e-06	present
ENSG00000048545	0.537948680402875	absent
ENSG00000048649	6.56522959209167e-07	present
ENSG00000048707	6.46308240218733e-08	present
ENSG00000048740	6.76981190022233e-08	present
ENSG00000048828	7.13924629604847e-09	present
ENSG00000048991	6.2368009137142e-05	present
ENSG00000049089	0.000409635175865494	present
ENSG00000049130	7.58979981236216e-08	present
ENSG00000049167	0.000326088350707301	present
ENSG00000049192	0.140418665375	absent
ENSG00000049239	1.69810858603169e-06	present
ENSG00000049245	1.1972866364749e-11	present
ENSG00000049246	6.38967115833902e-06	present
ENSG00000049247	0.548265648260665	absent
